Title,Premiere,Genre,Runtime,Language
Beasts of No Nation,2015,War drama,minutes:137,English
The Ridiculous 6,2015,Western comedy,minutes:120,English
Pee-wee's Big Holiday,2016,Adventure comedy,minutes:90,English
Special Correspondents,2016,Satire,minutes:101,English
The Do-Over,2016,Action comedy,minutes:108,English
The Fundamentals of Caring,2016,Comedy drama,minutes:97,English
Brahman Naman,2016,Sex comedy,minutes:95,English
Rebirth,2016,Thriller,minutes:100,English
Tallulah,2016,Comedy drama,minutes:111,English
XOXO,2016,Drama,minutes:92,English
ARQ,2016,Science fiction  Thriller,minutes:88,English
The Siege of Jadotville,2016,War,minutes:108,English
Mascots,2016,Mockumentary,minutes:95,English
I Am the Pretty Thing That Lives in the House,2016,Horror,minutes:89,English
7 años,2016,Drama,minutes:77,Spanish
True Memoirs of an International Assassin,2016,Action comedy,minutes:98,English
Mercy,2016,Thriller,minutes:87,English
Spectral,2016,Science fiction  Action,minutes:108,English
Barry,2016,Biopic,minutes:104,English
Coin Heist,2017,Heist,minutes:97,English
Clinical,2017,Horror thriller,minutes:104,English
Take the 10,2017,Comedy,minutes:80,English
iBOY,2017,Science fiction  Thriller,minutes:90,English
Imperial Dreams,2017,Drama,minutes:86,English
Girlfriend's Day,2017,Comedy drama,minutes:70,English
I Don't Feel at Home in This World Anymore,2017,Thriller drama,minutes:96,English
Burning Sands,2017,Drama,minutes:102,English
Deidra & Laney Rob a Train,2017,Comedy crime,minutes:92,English
The Most Hated Woman in America,2017,Biopic,minutes:92,English
The Discovery,2017,Science fiction  Drama,minutes:102,English
Win It All,2017,Comedy,minutes:88,English
Sandy Wexler,2017,Comedy,minutes:131,English
Sand Castle,2017,War,minutes:113,English
Tramps,2017,Romantic comedy,minutes:83,English
Small Crimes,2017,Dark comedy,minutes:95,English
Handsome: A Netflix Mystery Movie,2017,Comedy mystery,minutes:81,English
BLAME!,2017,Anime  Science fiction,minutes:106,Japanese
War Machine,2017,War Comedy,minutes:122,English
Shimmer Lake,2017,Crime thriller,minutes:86,English
Okja,2017,Action adventure,minutes:121,English
To the Bone,2017,Drama,minutes:107,English
The Incredible Jessica James,2017,Romantic comedy,minutes:83,English
Naked,2017,Comedy,minutes:96,English
Death Note,2017,Horror thriller,minutes:100,English
Little Evil,2017,Comedy horror,minutes:94,English
#realityhigh,2017,Teen comedy,minutes:99,English
First They Killed My Father,2017,Biographical drama,minutes:136,Khmer
Gerald's Game,2017,Horror thriller,minutes:103,English
Our Souls at Night,2017,Romance,minutes:103,English
Bomb Scared,2017,Black comedy,minutes:89,Spanish
The Babysitter,2017,Teen comedy horror,minutes:85,English
The Meyerowitz Stories (New and Selected),2017,Comedy drama,minutes:112,English
1922,2017,Horror  Crime drama,minutes:102,English
Wheelman,2017,Action thriller,minutes:82,English
The Killer,2017,Western,minutes:99,Portuguese
A Christmas Prince,2017,Christmas romantic comedy,minutes:92,English
El Camino Christmas,2017,Christmas dark comedy,minutes:89,English
Christmas Inheritance,2017,Christmas romantic drama,minutes:104,English
Bright,2017,Urban fantasy,minutes:117,English
My Own Man,2015,Documentary,minutes:81,English
The Other One: The Long Strange Trip of Bob Weir,2015,Documentary,minutes:83,English
Hot Girls Wanted,2015,Documentary,minutes:84,English
"What Happened, Miss Simone?",2015,Documentary,minutes:84,English
Tig,2015,Documentary,minutes:80,English
Keith Richards: Under the Influence,2015,Documentary,minutes:81,English
Winter on Fire: Ukraine's Fight for Freedom,2015,Documentary,minutes:91,Ukrainian
My Beautiful Broken Brain,2016,Documentary,minutes:91,English
Team Foxcatcher,2016,Documentary,minutes:90,English
Tony Robbins: I Am Not Your Guru,2016,Documentary,minutes:116,English
I'll Sleep When I'm Dead,2016,Documentary,minutes:79,English
Extremis,2016,Documentary,minutes:24,English
The White Helmets,2016,Documentary,minutes:40,English
Audrie & Daisy,2016,Documentary,minutes:98,English
Amanda Knox,2016,Documentary,minutes:92,English
13th,2016,Documentary,minutes:100,English
Sky Ladder: The Art of Cai Guo-Qiang,2016,Documentary,minutes:79,Mandarin
Into the Inferno,2016,Documentary,minutes:107,English
The Ivory Game,2016,Documentary,minutes:112,English
Casting JonBenet,2017,Documentary,minutes:80,English
The Mars Generation,2017,Documentary,minutes:97,English
Get Me Roger Stone,2017,Documentary,minutes:101,English
Laerte-se,2017,Documentary,minutes:100,Portuguese
Joshua: Teenager vs. Superpower,2017,Documentary,minutes:78,English
CounterPunch,2017,Documentary,minutes:91,English
Nobody Speak: Trials of the Free Press,2017,Documentary,minutes:95,English
Chasing Coral,2017,Documentary,minutes:89,English
Icarus,2017,Documentary,minutes:120,English
Resurface,2017,Documentary,minutes:27,English
Heroin(e),2017,Documentary,minutes:39,English
Strong Island,2017,Documentary,minutes:107,English
Gaga: Five Foot Two,2017,Documentary,minutes:100,English
Long Shot,2017,Documentary,minutes:40,English
The Death and Life of Marsha P. Johnson,2017,Documentary,minutes:105,English
Kingdom of Us,2017,Documentary,minutes:109,English
One of Us,2017,Documentary,minutes:95,English
Joan Didion: The Center Will Not Hold,2017,Documentary,minutes:98,English
"Jim & Andy: The Great Beyond – Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,Documentary,minutes:94,English
Saving Capitalism,2017,Documentary,minutes:73,English
Cuba and the Cameraman,2017,Documentary,minutes:114,English
Voyeur,2017,Documentary,minutes:95,English
A Very Murray Christmas,2015,Comedy  Musical,minutes:56,English
Justin Timberlake + The Tennessee Kids,2016,Concert film,minutes:90,English
13th: A Conversation with Oprah Winfrey & Ava DuVernay,2017,Aftershow  Interview,minutes:36,English
"Michael Bolton's Big, Sexy Valentine's Day Special",2017,Variety show,minutes:54,English
Rodney King,2017,One man show,minutes:52,English
"Barbra: The Music, The Mem'ries, The Magic",2017,Concert film,minutes:108,English
The Polka King,2018,Biographical comedy,minutes:94,English
Step Sisters,2018,Comedy,minutes:108,English
The Open House,2018,Horror thriller,minutes:94,English
A Futile and Stupid Gesture,2018,Biographical comedy,minutes:101,English
The Cloverfield Paradox,2018,Science fiction horror,minutes:102,English
When We First Met,2018,Romantic comedy,minutes:97,English
Love Per Square Foot,2018,Romantic comedy,minutes:133,Hindi
Irreplaceable You,2018,Romantic drama,minutes:96,English
Mute,2018,Science fiction,minutes:126,English
The Outsider,2018,Crime drama,minutes:120,English
Benji,2018,Family,minutes:87,English
"Game Over, Man!",2018,Action comedy,minutes:101,English
Paradox,2018,Musical  Western  Fantasy,minutes:73,English
Roxanne Roxanne,2018,Musical drama,minutes:100,English
Happy Anniversary,2018,Romantic comedy,minutes:78,English
First Match,2018,Sports drama,minutes:102,English
6 Balloons,2018,Drama,minutes:75,English
Amateur,2018,Sports drama,minutes:96,English
Come Sunday,2018,Biopic,minutes:105,English
I Am Not an Easy Man,2018,Romantic comedy,minutes:98,French
Dude,2018,Teen comedy drama,minutes:97,English
Candy Jar,2018,Romantic comedy,minutes:92,English
The Week Of,2018,Comedy,minutes:116,English
Sometimes,2018,Drama,minutes:101,Tamil
Forgive Us Our Debts,2018,Drama,minutes:104,Italian
The Kissing Booth,2018,Teen romantic comedy,minutes:106,English
Cargo,2018,Drama  Horror,minutes:104,English
Ibiza,2018,Comedy,minutes:94,English
Sara's Notebook,2018,Drama,minutes:116,Spanish
Alex Strangelove,2018,Romantic comedy,minutes:99,English
Set It Up,2018,Romantic comedy,minutes:105,English
Lust Stories,2018,Drama anthology,minutes:120,Hindi
"To Each, Her Own",2018,Romantic comedy,minutes:95,French
Calibre,2018,Thriller,minutes:101,English
TAU,2018,Science fiction thriller,minutes:97,English
The Legacy of a Whitetail Deer Hunter,2018,Adventure comedy,minutes:83,English
How It Ends,2018,Action thriller,minutes:113,English
Father of the Year,2018,Comedy,minutes:94,English
Duck Duck Goose,2018,Animated comedy,minutes:92,English
Extinction,2018,Science fiction thriller,minutes:95,English
Brij Mohan Amar Rahe,2018,Action comedy,minutes:100,Hindi
Like Father,2018,Comedy drama,minutes:103,English
The Package,2018,Black comedy,minutes:94,English
To All the Boys I've Loved Before,2018,Teen romantic comedy,minutes:100,English
The After Party,2018,Comedy,minutes:89,English
Sierra Burgess Is a Loser,2018,Teen romantic comedy drama,minutes:106,English
The Most Assassinated Woman in the World,2018,Mystery,minutes:102,French
On My Skin,2018,Crime drama,minutes:100,Italian
The Land of Steady Habits,2018,Comedy drama,minutes:98,English
The Angel,2018,Spy thriller,minutes:114,English
Nappily Ever After,2018,Comedy drama,minutes:98,English
Hold the Dark,2018,Action thriller,minutes:125,English
Private Life,2018,Drama,minutes:124,English
22 July,2018,Crime drama,minutes:144,English
Apostle,2018,Horror,minutes:130,English
The Night Comes for Us,2018,Action thriller,minutes:120,Indonesian
Been So Long,2018,Musical,minutes:100,English
The Holiday Calendar,2018,Christmas romantic comedy,minutes:95,English
The Other Side of the Wind,2018,Drama,minutes:122,English
Outlaw King,2018,Historical epic,minutes:121,English
The Princess Switch,2018,Christmas romantic comedy,minutes:102,English
Cam,2018,Psychological horror,minutes:94,English
The Ballad of Buster Scruggs,2018,Western anthology,minutes:133,English
The Christmas Chronicles,2018,Christmas  Fantasy  Adventure  Comedy,minutes:105,English
A Christmas Prince: The Royal Wedding,2018,Christmas romantic comedy,minutes:93,English
Rajma Chawal,2018,Comedy drama,minutes:118,Hindi
5 Star Christmas,2018,Christmas comedy,minutes:95,Italian
Mowgli: Legend of the Jungle,2018,Adventure,minutes:104,English
Roma,2018,Drama,minutes:134,Spanish
Bird Box,2018,Psychological thriller,minutes:124,English
Seeing Allred,2018,Documentary,minutes:95,English
The Trader,2018,Documentary,minutes:23,Georgian
Ladies First,2018,Documentary,minutes:39,Hindi
Take Your Pills,2018,Documentary,minutes:87,English
"Ram Dass, Going Home",2018,Documentary,minutes:31,English
Mercury 13,2018,Documentary,minutes:79,English
The Rachel Divide,2018,Documentary,minutes:104,English
End Game,2018,Documentary,minutes:40,English
Recovery Boys,2018,Documentary,minutes:89,English
The Bleeding Edge,2018,Documentary,minutes:100,English
City of Joy,2018,Documentary,minutes:76,English
Reversing Roe,2018,Documentary,minutes:99,English
Quincy,2018,Documentary,minutes:124,English
Two Catalonias,2018,Documentary,minutes:116,Spanish
Lessons from a School Shooting: Notes from Dunblane,2018,Documentary,minutes:23,English
Feminists: What Were They Thinking?,2018,Documentary,minutes:86,English
ReMastered: Who Shot the Sheriff?,2018,Documentary,minutes:57,English
Shirkers,2018,Documentary,minutes:97,English
They'll Love Me When I'm Dead,2018,Documentary,minutes:98,English
ReMastered: Tricky Dick & the Man in Black,2018,Documentary,minutes:58,English
The American Meme,2018,Documentary,minutes:98,English
ReMastered: Who Killed Jam Master Jay?,2018,Documentary,minutes:58,English
"Out of Many, One",2018,Documentary,minutes:34,English
Struggle: The Life and Lost Art of Szukalski,2018,Documentary,minutes:105,English
Loudon Wainwright III: Surviving Twin,2018,One man show,minutes:91,English
